 11 7177.886048 2.359E-30 2.339E-02.05540.298 3565.00350.52-.016530          2 1 0          0 1 0 11  5  7       10  6  4      332230807294713152    23.0   21.0
 11 7178.039109 2.021E-26 5.494E-03.05350.333 1590.69010.55-.013560          2 0 0          0 0 0  9  6  3        8  7  2      464223807260713049    57.0   51.0
 11 7178.053018 2.160E-24 7.256E-01.04120.281 1690.66440.36-.008120          0 2 1          0 0 0 12  2 10       11  2  9      454523606794713152    75.0   69.0
 11 7178.060287 4.295E-30 2.314E-04.07330.333 2630.19250.67-.003000          1 3 0          0 1 0  7  6  1        8  3  6      432230807294713152    45.0   51.0
 11 7178.197451 2.935E-29 3.865E-02.04660.208 3211.05480.49-.034660          1 0 1          0 0 0 15  4 11       16  2 14      334233807294713152    31.0   33.0
 11 7178.223817 2.213E-30 7.830E-01.03140.195 4612.79040.41-.009015         -2-2-2          0 0 0 17 -4 -4       17  8  9      132232477291712250   105.0  105.0
 11 7178.310400 6.710E-26 5.269E-01.04860.281 2321.90570.47-.014000          0 0 2          0 0 0 11  6  5       11  7  4      454223796560713049    69.0   69.0
 11 7178.319366 4.936E-30 3.544E-02.02270.195 3810.93660.16-.005320          0 2 1          0 0 0 17  5 13       17  3 14      332230807294713152   105.0  105.0
 11 7178.383417 2.972E-30 2.006E+00.01690.221 4507.52260.03-.022110          0 3 1          0 1 0 16  3 14       15  3 13      332230807294713152    33.0   31.0
 11 7178.392064 8.331E-29 2.933E-03.06330.265 2437.50190.65-.028520          0 0 2          0 0 0 13  3 11       12  6  6      334233807260713049    27.0   25.0
 11 7178.408613 1.833E-28 9.267E-05.03400.265 1774.75110.30-.026150          0 0 2          0 0 0 12  1 12       12  2 11      434243807260713049    75.0   75.0
 11 7178.445634 1.440E-22 1.410E+00.08810.450  602.77350.71-.007590          1 0 1          0 0 0  6  2  5        6  2  4      757521306382623134    13.0   13.0
 11 7178.448256 9.441E-30 1.740E-02.05160.235 3266.51430.48-.007880          0 0 2          0 0 0 14  6  8       14  7  7      332230807260713049    29.0   29.0
 11 7178.538884 6.209E-29 9.411E-05.03390.265 1774.61630.30-.026120          0 0 2          0 0 0 12  0 12       12  1 11      334243807260713049    25.0   25.0
 11 7178.544339 5.688E-30 8.203E-01.04980.195 4428.11470.49-.027420          2 0 0          0 0 0 17  8  9       17  7 10      232230807260713049   105.0  105.0
 11 7178.610289 1.530E-28 4.175E-02.04220.235 3084.83570.42-.025780          1 0 1          0 0 0 13  8  6       14  6  9      334233807294713152    81.0   87.0
 11 7178.817306 4.882E-30 1.525E-08.07810.371  648.97870.670.000000          1 2 0          0 0 0  8  3  6        6  3  4     q4222308079917122 0    51.0   39.0
 11 7178.873585 1.501E-27 2.546E-02.04350.298 2254.28440.46-.018760          2 0 0          0 0 0 11  7  5       10  8  2      434223807260713049    23.0   21.0
 11 7178.886568 1.523E-30 2.408E-01.05320.195 4221.03930.50-.017230          1 0 1          0 0 0 17  6 11       17  6 12      332230807294713152    35.0   35.0
 11 7178.899138 1.773E-30 6.716E-01.03300.265 4557.54630.35-.021720          1 3 0          0 1 0 12  9  4       12  8  5      232230807294713152    75.0   75.0
 11 7178.969949 1.894E-30 3.041E+00.07180.333 4523.58900.61-.035970          0 0 3          1 0 0  7  1  6        8  1  7      332230807294713152    15.0   17.0
 11 7179.018384 8.277E-30 8.344E-09.09400.434  285.41860.730.000000          1 0 1          0 0 0  4  0  4        3  3  0     q4222308079917122 0    27.0   21.0
 11 7179.122242 2.689E-28 9.533E-01.10050.434 3334.62650.75-.002960          2 2 0          0 2 0  3  2  1        3  1  2      334223807294713152    21.0   21.0
 11 7179.133884 4.453E-27 2.518E-02.04370.298 2254.28370.46-.018500          2 0 0          0 0 0 11  7  4       10  8  3      434223807260713049    69.0   63.0
 11 7179.186978 5.760E-23 2.128E-01.09520.391  326.62550.73-.004420          2 0 0          0 0 0  4  2  2        5  1  5      456621306360713049     9.0   11.0
 11 7179.203569 3.273E-30 9.606E-09.08330.391  610.34120.690.000000          1 2 0          0 0 0  7  4  3        5  4  1     q7222308079917122 0    45.0   33.0
 11 7179.294950 7.380E-25 7.601E-01.03790.281 1695.06860.33-.016220          0 2 1          0 0 0 12  3 10       11  3  9      454523796794713152    25.0   23.0
 11 7179.309506 1.723E-28 3.818E-01.09980.456 3237.91730.75-.006710          2 2 0          0 2 0  3  0  3        2  1  2      334243807294713152    21.0   15.0
 11 7179.326810 1.250E-25 6.871E-02.06670.265 1774.75110.63-.019390          2 0 0          0 0 0 11  3  8       12  2 11      454223796760713049    69.0   75.0
 11 7179.342202 1.672E-30 7.045E-02.04740.250 3879.72080.470.003200          1 1 1          0 1 0 12  5  8       13  3 11      332230807294713152    25.0   27.0
 11 7179.373270 1.056E-30 4.396E-01.08640.371 4408.02880.72-.009510          0 0 3          0 0 1  5  4  2        6  3  3      332230807294713152    33.0   39.0
 11 7179.499966 8.106E-28 1.026E+01.10600.480 3196.09340.76-.001450          1 2 1          0 2 0  1  1  0        1  1  1      334223807294713152     3.0    3.0
 11 7179.638755 4.817E-29 2.222E-02.06790.315 3141.04590.62-.021020          2 1 0          0 1 0 10  4  7        9  5  4      334233807294713152    63.0   57.0
 11 7179.665171 4.896E-29 3.839E-07.07340.352  586.47920.650.000000          2 0 0          0 0 0  7  1  7        7  1  7     q4322308079917122 0    15.0   15.0
 11 7179.699712 1.004E-28 7.351E-07.08360.371  542.90580.730.002120          0 4 0          0 0 0  6  6  0        6  1  5      432230807260713049    13.0   13.0
